company,review_title,rating,review_date,source_url,page_number,segment_label,raw_text,language,clean_text,lemma_text,text_length
Apex Systems,,,,,,cons,Es un teleperformance como cualquier otro. La oportunidad de crecimiento es nula.,es,es un teleperformance como cualquier otro la oportunidad de crecimiento es nula,teleperformance oportunidad crecimiento nulo,4
Apex Systems,,,,,,pros,"Sueldo decente
SGMM
Fun eventos
Snacks
Beer day
Comida gratis 1 vez x semana
Vacaciones desde primer año",es,sueldo decente sgmm fun eventos snacks beer day comida gratis vez x semana vacaciones desde primer año,sueldo decente sgmm fun evento snack beer day comida gratis x semana vacación año,14
Apex Systems,,,,,,cons,"-
Cambios de horario constantes 
-Se nota que quieren que sea un puesto de rotación(ahora solo te 
contratan por 3 meses, en horarios full time de 12 horas y te PAGAN 
MENOS) 
-No importa que cumplas en métricas de calidad, eficiencia y 
puntualidad, tampoco importa que no tengas ninguna ACTA, PIB, CAN RCA, 
se pueden inventar cualquier excusa para correrte. 
-Despidos colectivos frecuentes(te dicen que te mandan a la banca de la 
empresa y al día siguiente te corren) 
-Te sientes amenazado todo el tiempo con recibir cualquier tipo de 
amonestación administrativa porque el cliente es totalmente intolerante 
al más mínimo error. 
- Te obligan a firmar ""renuncia voluntaria"" para no darte NADA.
- Se hacen weyes para pagarte horas extra (literal la gente tuvo que 
alzar la voz porque a nadie se las pagaron y tuvo que salir el bufón de 
la empresa a dar la cara).",es,cambios de horario constantes se nota que quieren que sea un puesto de rotación ahora solo te contratan por meses en horarios full time de horas y te pagan menos no importa que cumplas en métricas de calidad eficiencia y puntualidad tampoco importa que no tengas ninguna acta pib can rca se pueden inventar cualquier excusa para correrte despidos colectivos frecuentes te dicen que te mandan a la banca de la empresa y al día siguiente te corren te sientes amenazado todo el tiempo con recibir cualquier tipo de amonestación administrativa porque el cliente es totalmente intolerante al más mínimo error te obligan a firmar renuncia voluntaria para no darte nada se hacen weyes para pagarte horas extra literal la gente tuvo que alzar la voz porque a nadie se las pagaron y tuvo que salir el bufón de la empresa a dar la cara,cambio horario constante notar querer puesto rotación contratar mes horario full time hora pagar importar cump él métricas calidad eficiencia puntualidad importar tengar acta pib can rca inventar excusa correrte despido colectivo frecuente mandar banca empresa correr sentir amenazado tiempo recibir tipo amonestación administrativo cliente totalmente intolerante mínimo error obligar firmar renuncia voluntario darte weyes pagartir hora extra literal gente alzar voz pagar salir bufón empresa cara,67
Apex Systems,,,,,,pros,Buen salario y prestaciones. Nada extraordinario. .,es,buen salario y prestaciones nada extraordinario,salario prestación extraordinario,3
Apex Systems,,,,,,cons,"Si
 tuviste mala experiencia en un inicio con el cliente, para Apex lo es 
todo y no hay manera de reparar tu relacion por mucho que hagas.",es,si tuviste mala experiencia en un inicio con el cliente para apex lo es todo y no hay manera de reparar tu relacion por mucho que hagas,tuvistar malo experiencia inicio cliente apex reparar relacion haga,9
Apex Systems,,,,,,pros,"Pago de nomina a tiempo
Buen salario",es,pago de nomina a tiempo buen salario,pago nomina tiempo salario,4
Apex Systems,,,,,,cons,"Constante aumento gradual a la carga laboral
 Contratos ""temporales"" que terminan sin previo aviso",es,constante aumento gradual a la carga laboral contratos temporales que terminan sin previo aviso,constante aumento gradual carga laboral contrato temporal terminar previo aviso,10
Apex Systems,,,,,,pros,"Las prestaciones están buenas, cosas de ley, te dan el equivalente de tus vacaciones desde que entras",es,las prestaciones están buenas cosas de ley te dan el equivalente de tus vacaciones desde que entras,prestación cosa ley equivalente vacación entra,6
Apex Systems,,,,,,cons,"Comenzando
 por los TLs que son homofobicos, cero profesionales, se dirigen de 
forma despectiva a los demás y lo peor es que ya no lo esconden, todos 
los escuchamos hablar mal de otros, nunca se preocupan por su equipo, 
siempre dicen que no está en sus manos hacer nada, le ponen el pie a los
 mismos del equipo solo por envidia o porque no les caen bien, están 
aliados para hacerle la vida imposible a quien les caiga mal.
Apex deja que los clientes no cumplan las leyes del trabajo en México, 
te obligan a tomar de tus descansos para ir al baño y si no lo haces te 
cuestionan. Hay equipos donde el TL hace que los de su mismo equipo se 
hagan igual de despotas y hacen un círculo vicioso de mala cultura 
laboral.
Te cuestionan todo lo que haces y te exigen que pongas en un Excel que 
haces a cada hora del día, siempre te están amenazando con correrte, 
cero recomendado entrar.
Además siempre te están exponiendo con todos para generar una 
competencia, haciendo aún más tóxico todo, si hay algo por minúsculo y 
sin importancia que tengas que no les guste, los TLs te hacen menos y se
 encargan de que los demás lo vean",es,comenzando por los tls que son homofobicos cero profesionales se dirigen de forma despectiva a los demás y lo peor es que ya no lo esconden todos los escuchamos hablar mal de otros nunca se preocupan por su equipo siempre dicen que no está en sus manos hacer nada le ponen el pie a los mismos del equipo solo por envidia o porque no les caen bien están aliados para hacerle la vida imposible a quien les caiga mal apex deja que los clientes no cumplan las leyes del trabajo en méxico te obligan a tomar de tus descansos para ir al baño y si no lo haces te cuestionan hay equipos donde el tl hace que los de su mismo equipo se hagan igual de despotas y hacen un círculo vicioso de mala cultura laboral te cuestionan todo lo que haces y te exigen que pongas en un excel que haces a cada hora del día siempre te están amenazando con correrte cero recomendado entrar además siempre te están exponiendo con todos para generar una competencia haciendo aún más tóxico todo si hay algo por minúsculo y sin importancia que tengas que no les guste los tls te hacen menos y se encargan de que los demás lo vean,comenzar tls homofobico cero profesional dirigir forma despectivo escondar escuchar hablar preocupar equipo mano poner pie equipo envidia caer aliado hacer él vida imposible caer apex dejar cliente cumplir ley trabajo méxico obligar tomar descanso baño cuestionar equipo tl equipo hacer despota círculo vicioso malo cultura laboral cuestionar exigir pongar excel hora amenazar correrte cero recomendado entrar exponer generar competencia tóxico minúsculo importancia tengar gustar tls encarguir vean,68
Apex Systems,,,,,,pros,Excelente cultura laboral y ambiente,es,excelente cultura laboral y ambiente,excelente cultura laboral ambiente,4
Apex Systems,,,,,,cons,Salario no tan competitivo pero se compensa con mayor estabilidad,es,salario no tan competitivo pero se compensa con mayor estabilidad,salario competitivo compensar estabilidad,4
Apex Systems,,,,,,pros,"empleo 100% remoto
sueldo y prestaciones competitivas",es,empleo remoto sueldo y prestaciones competitivas,empleo remoto sueldo prestación competitivo,5
Apex Systems,,,,,,cons,"En
 cualquier seniority, debes de comprobar horas trabajadas para Apex  sin
 importar si tienes proyecto asignado o bandwith con cliente. Eso se 
considera para ser promovido  ademas de obtener certificaciones y 
justificar una jornada compleda con cliente; es abrumador.",es,en cualquier seniority debes de comprobar horas trabajadas para apex sin importar si tienes proyecto asignado o bandwith con cliente eso se considera para ser promovido ademas de obtener certificaciones y justificar una jornada compleda con cliente es abrumador,seniority deber comprobar hora trabajado apex importar tener proyecto asignado bandwith cliente promover obtener certificación justificar jornada compledar cliente abrumador,20
Apex Systems,,,,,,pros,El ambiente laboral tratan de hacerlo muy bueno con actividades para unir a los empleados,es,el ambiente laboral tratan de hacerlo muy bueno con actividades para unir a los empleados,ambiente laboral tratar actividad unir empleado,6
Apex Systems,,,,,,cons,Se nota mucho el nepotismo y favoritismo en todas las áreas de la empresa. Aparte no tienen fondo de ahorro.,es,se nota mucho el nepotismo y favoritismo en todas las áreas de la empresa aparte no tienen fondo de ahorro,notar nepotismo favoritismo área empresa aparte fondo ahorro,8
Apex Systems,,,,,,pros,Tienen buenas prácticas de entrevistas y onboarding,es,tienen buenas prácticas de entrevistas y onboarding,práctica entrevista onboarding,3
Apex Systems,,,,,,cons,Tu desarrollo está determinado por el cliente y manager que te asignen,es,tu desarrollo está determinado por el cliente y manager que te asignen,desarrollo determinado cliente manager asignir,5
Apex Systems,,,,,,pros,"Trabajo 100% remoto, mucha convivencia remota para fomentar unión de equipo y compañerismo.",es,trabajo remoto mucha convivencia remota para fomentar unión de equipo y compañerismo,trabajo remoto convivencia remoto fomentar unión equipo compañerismo,8
Apex Systems,,,,,,cons,No hay muchas promociones de empleados fuera de Guadalajara,es,no hay muchas promociones de empleados fuera de guadalajara,promoción empleado guadalajara,3
Apex Systems,,,,,,pros,"Discipline
Good Performance
Complience
Team
Good Salary",en,discipline good performance complience team good salary,discipline good performance complience team good salary,7
Apex Systems,,,,,,cons,During my time in apex I feel very good with all coworkers I don't have any negative comment,en,during my time in apex i feel very good with all coworkers i don t have any negative comment,time apex feel good coworker don t negative comment,9
Apex Systems,,,,,,pros,"Sueldo bueno, excelentes prestaciones y ambiente laboral",es,sueldo bueno excelentes prestaciones y ambiente laboral,sueldo excelente prestación ambiente laboral,5
Apex Systems,,,,,,cons,Mi proyecto no tiene home office,en,mi proyecto no tiene home office,mi proyecto tiene home office,5
Apex Systems,,,,,,pros,"Prestaciones
Salario competitivo 
Trabajo remoto",es,prestaciones salario competitivo trabajo remoto,prestación salario competitivo trabajo remoto,5
Apex Systems,,,,,,cons,No veo desventajas en la empresa,es,no veo desventajas en la empresa,ver desventaja empresa,3
Apex Systems,,,,,,pros,"Prestaciones, crecimiento, trabajo remoto y buenos clientes",es,prestaciones crecimiento trabajo remoto y buenos clientes,prestación crecimiento trabajo remoto cliente,5
Apex Systems,,,,,,cons,Exigencias como consultor hacia la empresa de apex estando bookeado 100% con cliente,es,exigencias como consultor hacia la empresa de apex estando bookeado con cliente,exigencia consultor empresa apex estar bookeado cliente,7
Apex Systems,,,,,,pros,Está bueno el jale y paga bien,es,está bueno el jale y paga bien,jale pagar,2
Apex Systems,,,,,,cons,mucho tiempo y horarios que cambian,es,mucho tiempo y horarios que cambian,tiempo horario cambiar,3
Apex Systems,,,,,,pros,"hybrid working environment, good location",en,hybrid working environment good location,hybrid work environment good location,5
Apex Systems,,,,,,cons,leadership lacking and lack of organizational culture,en,leadership lacking and lack of organizational culture,leadership lacking lack organizational culture,5
Apex Systems,,,,,,pros,"* Pagos a tiempo
* Bonos trimestrales
* Trabajo remoto
* Periodo de banca
* Buenos compañeros de trabajo",es,pagos a tiempo bonos trimestrales trabajo remoto periodo de banca buenos compañeros de trabajo,pago tiempo bono trimestral trabajo remoto periodo banca compañero trabajo,10
